% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 59.20    0.021119         439        48         4 futex
  9.28    0.003311          55        60           nanosleep
  9.23    0.003293          15       208           clock_gettime
  7.51    0.002680         335         8           epoll_pwait
  2.28    0.000815          15        54           rt_sigprocmask
  1.86    0.000663          13        51           mmap
  1.28    0.000456          57         8           clone3
  1.21    0.000431          23        18           mprotect
  0.82    0.000292          22        13           sched_yield
  0.73    0.000262          20        13           read
  0.66    0.000236           8        27           prctl
  0.60    0.000213          26         8           munmap
  0.55    0.000195          10        18           sigaltstack
  0.54    0.000193          13        14           close
  0.53    0.000190           1       114           rt_sigaction
  0.36    0.000128          25         5           socket
  0.34    0.000121          13         9           setsockopt
  0.33    0.000118          16         7           epoll_ctl
  0.33    0.000118          13         9           openat
  0.32    0.000113          12         9           set_robust_list
  0.29    0.000104          11         9           gettid
  0.27    0.000097          32         3         2 accept4
  0.25    0.000088           9         9           rseq
  0.16    0.000056          18         3           bind
  0.12    0.000044           8         5           pread64
  0.12    0.000044           5         8           fcntl
  0.11    0.000040          40         1           tgkill
  0.10    0.000035          17         2           rt_sigreturn
  0.09    0.000032           8         4           sched_getaffinity
  0.09    0.000031          15         2           write
  0.07    0.000024          24         1           eventfd2
  0.06    0.000023           7         3           prlimit64
  0.06    0.000020          10         2           getsockname
  0.05    0.000017          17         1           epoll_create1
  0.04    0.000015          15         1           getpid
  0.03    0.000011           3         3           fstat
  0.03    0.000009           3         3           brk
  0.03    0.000009           9         1           listen
  0.02    0.000008           4         2           madvise
  0.02    0.000006           6         1           uname
  0.01    0.000004           4         1           arch_prctl
  0.01    0.000004           4         1           set_tid_address
  0.01    0.000004           4         1           getrandom
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.035672          46       770         7 total
