% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 41.24   36.760051        2058     17857      3535 futex
 31.97   28.495954         109    260759        64 write
 21.89   19.509386          95    204949           clock_gettime
  1.82    1.623737          98     16434       543 read
  1.66    1.481721         199      7442           nanosleep
  0.28    0.253386          48      5227           tgkill
  0.28    0.253160          45      5569           sched_yield
  0.28    0.248862          47      5227           getpid
  0.28    0.248589          46      5292       151 rt_sigreturn
  0.17    0.149806          91      1638           epoll_pwait
  0.05    0.040145         104       385           madvise
  0.02    0.015491          31       489           setsockopt
  0.01    0.010348         100       103           getrandom
  0.01    0.008484          42       199           epoll_ctl
  0.01    0.007685          69       111           close
  0.01    0.007544          50       150           rt_sigprocmask
  0.01    0.005158          44       117           mmap
  0.00    0.003638          36       101         4 accept4
  0.00    0.003636         151        24           clone3
  0.00    0.002970          30        98           getsockname
  0.00    0.002729          54        50           mprotect
  0.00    0.002679          43        61           prctl
  0.00    0.002413          48        50           sigaltstack
  0.00    0.001342          53        25           rseq
  0.00    0.001274          50        25           set_robust_list
  0.00    0.001241          49        25           gettid
  0.00    0.001143          60        19           munmap
  0.00    0.000491          54         9           pread64
  0.00    0.000487          60         8           sched_getaffinity
  0.00    0.000277         277         1           execve
  0.00    0.000179          17        10           openat
  0.00    0.000041           8         5           socket
  0.00    0.000041           5         8           fcntl
  0.00    0.000017          17         1           epoll_create1
  0.00    0.000015           5         3           fstat
  0.00    0.000015           5         3           brk
  0.00    0.000012          12         1           eventfd2
  0.00    0.000011           3         3           bind
  0.00    0.000009           3         3           prlimit64
  0.00    0.000006           6         1         1 access
  0.00    0.000004           4         1           listen
  0.00    0.000004           4         1           arch_prctl
  0.00    0.000004           4         1           set_tid_address
  0.00    0.000003           3         1           uname
  0.00    0.000000           0       114           rt_sigaction
------ ----------- ----------- --------- --------- ------------------
100.00   89.144188         167    532600      4298 total
