% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 38.80    0.004252         223        19         1 futex
 16.50    0.001808          54        33           nanosleep
 10.31    0.001130          10       107           clock_gettime
  4.15    0.000455          10        44           mmap
  3.89    0.000426          10        41           rt_sigprocmask
  3.39    0.000371          26        14           mprotect
  3.05    0.000334           2       115           rt_sigaction
  2.73    0.000299          49         6         1 epoll_pwait
  2.72    0.000298          49         6           clone3
  1.58    0.000173          13        13           read
  1.37    0.000150          10        14           sigaltstack
  1.11    0.000122          40         3           prlimit64
  0.99    0.000109           4        24           prctl
  0.97    0.000106           8        13           close
  0.88    0.000096          10         9           gettid
  0.78    0.000085          14         6           munmap
  0.74    0.000081          11         7           rseq
  0.70    0.000077          25         3         2 accept4
  0.68    0.000075          10         7           set_robust_list
  0.62    0.000068           7         9           openat
  0.55    0.000060           8         7           sched_yield
  0.48    0.000053           5         9           setsockopt
  0.46    0.000050          10         5           socket
  0.41    0.000045           7         6           epoll_ctl
  0.33    0.000036          12         3           getpid
  0.32    0.000035           4         8           fcntl
  0.30    0.000033          11         3           tgkill
  0.26    0.000029           9         3           sched_getaffinity
  0.20    0.000022           7         3           bind
  0.20    0.000022          11         2           getsockname
  0.18    0.000020          20         1           rt_sigreturn
  0.10    0.000011           2         4           pread64
  0.05    0.000006           3         2           madvise
  0.05    0.000005           5         1           listen
  0.05    0.000005           5         1           uname
  0.04    0.000004           4         1           eventfd2
  0.04    0.000004           4         1           epoll_create1
  0.03    0.000003           1         2           write
  0.00    0.000000           0         3           fstat
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00    0.010958          19       566         5 total
