% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 50.96   20.615825          50    407308           clock_gettime
 35.72   14.448050         398     36228      7160 futex
  3.10    1.254276          59     21193           write
  2.66    1.075047          51     20743      6582 read
  2.62    1.058510         119      8849        17 nanosleep
  1.24    0.499952          34     14421           sched_yield
  0.98    0.396767          31     12474           tgkill
  0.95    0.384464          30     12474           getpid
  0.91    0.369231          29     12472       217 rt_sigreturn
  0.73    0.294777          54      5425           epoll_pwait
  0.04    0.018183          55       328           madvise
  0.02    0.007559          44       169           setsockopt
  0.01    0.004526          58        77           getrandom
  0.01    0.004362          36       119           rt_sigprocmask
  0.01    0.003146          29       106           mmap
  0.01    0.002563         134        19           clone3
  0.00    0.001935          48        40         1 epoll_ctl
  0.00    0.001887          52        36         3 accept4
  0.00    0.001783          29        60           prctl
  0.00    0.001425          35        40           mprotect
  0.00    0.001309          38        34           getsockname
  0.00    0.001173          29        40           sigaltstack
  0.00    0.000881          44        20           set_robust_list
  0.00    0.000820          41        20           rseq
  0.00    0.000621          28        22           gettid
  0.00    0.000500           4       115           rt_sigaction
  0.00    0.000380          25        15           munmap
  0.00    0.000342          42         8           sched_getaffinity
  0.00    0.000303          18        16           close
  0.00    0.000290          32         9           pread64
  0.00    0.000270          22        12         1 openat
  0.00    0.000242          20        12           fcntl
  0.00    0.000041           8         5           socket
  0.00    0.000023           7         3           bind
  0.00    0.000013           4         3           prlimit64
  0.00    0.000008           8         1           listen
  0.00    0.000006           6         1           uname
  0.00    0.000005           5         1           eventfd2
  0.00    0.000005           5         1           epoll_create1
  0.00    0.000000           0         3           fstat
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
------ ----------- ----------- --------- --------- ------------------
100.00   40.451500          73    552929     13982 total
