% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 55.77    0.012736         270        47         3 futex
 11.62    0.002653          68        39           nanosleep
 11.06    0.002525          16       153           clock_gettime
  2.58    0.000590          12        47           mmap
  2.27    0.000518          10        48           rt_sigprocmask
  1.60    0.000365           3       114           rt_sigaction
  1.58    0.000360          72         5           epoll_pwait
  1.30    0.000297          42         7           clone3
  1.18    0.000269          19        14           sched_yield
  1.10    0.000252          19        13           read
  1.04    0.000237          14        16           mprotect
  1.03    0.000236          29         8           munmap
  0.96    0.000220          13        16           sigaltstack
  0.95    0.000218           8        25           prctl
  0.92    0.000211          15        14           close
  0.49    0.000112          14         8           gettid
  0.47    0.000108          12         9           setsockopt
  0.46    0.000104          11         9           openat
  0.42    0.000097          32         3           prlimit64
  0.42    0.000096          19         5           socket
  0.39    0.000088          11         8           rseq
  0.35    0.000080          20         4           sched_getaffinity
  0.32    0.000074          24         3         2 accept4
  0.29    0.000066           9         7           epoll_ctl
  0.29    0.000066           8         8           set_robust_list
  0.22    0.000050          10         5           pread64
  0.16    0.000036           4         8           fcntl
  0.14    0.000031          10         3           bind
  0.13    0.000030          10         3           write
  0.12    0.000027          27         1           rt_sigreturn
  0.09    0.000020          10         2           getsockname
  0.05    0.000012           4         3           brk
  0.04    0.000010           5         2           madvise
  0.04    0.000009           9         1           eventfd2
  0.03    0.000006           6         1           set_tid_address
  0.02    0.000005           1         3           fstat
  0.02    0.000005           5         1           arch_prctl
  0.02    0.000005           5         1           getrandom
  0.02    0.000004           4         1           listen
  0.02    0.000004           4         1           epoll_create1
  0.01    0.000003           3         1           uname
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.022835          34       669         6 total
