% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 60.03   29.352779         459     63858     15546 futex
 25.74   12.588122          45    277257           clock_gettime
  1.82    0.888337          35     24965           sched_yield
  1.68    0.820445          47     17186      4669 read
  1.59    0.775616         109      7107        20 nanosleep
  1.46    0.714221          49     14320           fcntl
  1.31    0.642497          56     11457           write
  1.24    0.607713          27     21847           tgkill
  1.23    0.602590          27     21847           getpid
  1.16    0.566673          25     21848       204 rt_sigreturn
  0.60    0.295056          51      5718           lseek
  0.39    0.192838          53      3625           close
  0.38    0.185203          51      3580           fstat
  0.38    0.183403          50      3649      3578 epoll_ctl
  0.36    0.174560          53      3247         2 epoll_pwait
  0.35    0.168825          47      3589         1 openat
  0.19    0.090679          47      1894           getrandom
  0.05    0.025378          57       438           madvise
  0.01    0.005436          32       169           setsockopt
  0.01    0.004311          32       132           rt_sigprocmask
  0.01    0.003784          34       109           mmap
  0.00    0.002152         102        21           clone3
  0.00    0.001628          37        44           mprotect
  0.00    0.001295          21        59           prctl
  0.00    0.001247          34        36         3 accept4
  0.00    0.001161          26        44           sigaltstack
  0.00    0.000912          26        34           getsockname
  0.00    0.000710          32        22           set_robust_list
  0.00    0.000686          31        22           rseq
  0.00    0.000591          45        13           munmap
  0.00    0.000542          24        22           gettid
  0.00    0.000500           4       114           rt_sigaction
  0.00    0.000252          31         8           sched_getaffinity
  0.00    0.000245          27         9           pread64
  0.00    0.000069          13         5           socket
  0.00    0.000032          10         3           bind
  0.00    0.000019           6         3           prlimit64
  0.00    0.000010          10         1           epoll_create1
  0.00    0.000009           9         1           listen
  0.00    0.000007           7         1           uname
  0.00    0.000006           6         1           eventfd2
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
------ ----------- ----------- --------- --------- ------------------
100.00   48.900539          96    508312     24024 total
