% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 53.38    0.012665         234        54         5 futex
 10.75    0.002551          15       163           clock_gettime
 10.73    0.002545          59        43           nanosleep
  6.02    0.001428         204         7           epoll_pwait
  2.98    0.000706          14        48           rt_sigprocmask
  2.44    0.000579          12        48           mmap
  1.74    0.000412          25        16           mprotect
  1.53    0.000362          51         7           clone3
  1.27    0.000302          21        14           sched_yield
  1.09    0.000258          17        15           read
  1.01    0.000239           2       114           rt_sigaction
  0.73    0.000173           6        26           prctl
  0.65    0.000155          11        14           close
  0.63    0.000149           9        16           sigaltstack
  0.54    0.000129          21         6           munmap
  0.48    0.000114          14         8           rseq
  0.40    0.000096          12         8           gettid
  0.40    0.000096          10         9           openat
  0.36    0.000086           9         9           setsockopt
  0.33    0.000078           9         8           set_robust_list
  0.32    0.000076          25         3         2 accept4
  0.29    0.000068          13         5           socket
  0.27    0.000064           9         7           epoll_ctl
  0.25    0.000059          11         5           pread64
  0.20    0.000047          11         4           write
  0.18    0.000042          10         4           sched_getaffinity
  0.16    0.000039           4         8           fcntl
  0.16    0.000037          37         1           rt_sigreturn
  0.14    0.000034          11         3           bind
  0.11    0.000026           8         3           prlimit64
  0.08    0.000020          10         2           getsockname
  0.06    0.000014          14         1           newfstatat
  0.05    0.000011           3         3           brk
  0.04    0.000010           3         3           fstat
  0.04    0.000009           9         1           uname
  0.04    0.000009           9         1           eventfd2
  0.04    0.000009           9         1           epoll_create1
  0.03    0.000008           8         1           listen
  0.03    0.000006           3         2           madvise
  0.02    0.000005           5         1           set_tid_address
  0.02    0.000005           5         1           getrandom
  0.02    0.000004           4         1           arch_prctl
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.023725          34       696         8 total
