3664769 ???( <detached ...>
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 43.53   24.144730         815     29592      6342 futex
 29.90   16.586957          59    278096           clock_gettime
 14.84    8.229751          63    129252      1424 read
  2.97    1.645316          75     21675           write
  2.20    1.222697          62     19496           fcntl
  1.79    0.991766         128      7703         7 nanosleep
  0.88    0.489432         100      4882           openat
  0.73    0.403591          37     10853           sched_yield
  0.71    0.395845          80      4919           close
  0.56    0.311009          62      4943      4872 epoll_ctl
  0.54    0.301376          32      9244           tgkill
  0.54    0.298565          32      9244           getpid
  0.52    0.288759          31      9245       127 rt_sigreturn
  0.21    0.115646          66      1739           epoll_pwait
  0.01    0.008225          61       134           getrandom
  0.01    0.006053          35       169           setsockopt
  0.01    0.005655          42       134           mmap
  0.01    0.004213          63        66           madvise
  0.01    0.003244          24       132           rt_sigprocmask
  0.01    0.003151          37        84           prctl
  0.00    0.001610          76        21           clone3
  0.00    0.001523          42        36         3 accept4
  0.00    0.001413          41        34           getsockname
  0.00    0.001409          32        44           mprotect
  0.00    0.000940          21        44           sigaltstack
  0.00    0.000696          31        22           set_robust_list
  0.00    0.000656          29        22           rseq
  0.00    0.000516          32        16           munmap
  0.00    0.000488           4       114           rt_sigaction
  0.00    0.000476          21        22           gettid
  0.00    0.000308          34         9           pread64
  0.00    0.000284          35         8           sched_getaffinity
  0.00    0.000096          32         3           prlimit64
  0.00    0.000070          14         5           socket
  0.00    0.000026           8         3           bind
  0.00    0.000018          18         1           eventfd2
  0.00    0.000014          14         1           newfstatat
  0.00    0.000008           8         1           epoll_create1
  0.00    0.000007           7         1           uname
  0.00    0.000005           5         1           listen
  0.00    0.000000           0         3           fstat
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
------ ----------- ----------- --------- --------- ------------------
100.00   55.466544         102    542020     12776 total
