% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 56.20    0.012837         267        48         3 futex
  9.28    0.002120          58        36           nanosleep
  9.25    0.002113          15       136           clock_gettime
  3.52    0.000804          15        51           mmap
  3.20    0.000732          13        54           rt_sigprocmask
  2.29    0.000523          65         8           clone3
  1.80    0.000412         103         4           epoll_pwait
  1.67    0.000381          21        18           mprotect
  1.48    0.000338           2       114           rt_sigaction
  1.30    0.000296          16        18           sigaltstack
  0.99    0.000227         227         1           execve
  0.97    0.000222           8        27           prctl
  0.96    0.000220          13        16           sched_yield
  0.92    0.000209          16        13           read
  0.75    0.000171          21         8           munmap
  0.65    0.000149          16         9           rseq
  0.59    0.000135          15         9           openat
  0.57    0.000130           9        14           close
  0.49    0.000113          12         9           gettid
  0.44    0.000101          33         3         2 accept4
  0.43    0.000099          11         9           set_robust_list
  0.35    0.000080          11         7           epoll_ctl
  0.26    0.000060          12         5           socket
  0.26    0.000059           6         9           setsockopt
  0.23    0.000053          10         5           pread64
  0.20    0.000045           5         8           fcntl
  0.13    0.000030          15         2           getsockname
  0.13    0.000030           7         4           sched_getaffinity
  0.11    0.000026          13         2           write
  0.11    0.000026           8         3           prlimit64
  0.10    0.000022           7         3           bind
  0.06    0.000014           4         3           brk
  0.06    0.000013           4         3           fstat
  0.04    0.000008           8         1           eventfd2
  0.04    0.000008           8         1           epoll_create1
  0.03    0.000007           3         2           madvise
  0.03    0.000006           6         1         1 access
  0.02    0.000005           5         1           listen
  0.02    0.000004           4         1           uname
  0.02    0.000004           4         1           arch_prctl
  0.02    0.000004           4         1           set_tid_address
  0.02    0.000004           4         1           getrandom
  0.00    0.000000           0         1           rt_sigreturn
------ ----------- ----------- --------- --------- ------------------
100.00    0.022840          34       670         6 total
