3664918 ???( <detached ...>
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 45.04   24.014418         759     31599      5966 futex
 41.37   22.058378          57    383298           clock_gettime
  4.05    2.157745          59     36176      1914 read
  4.02    2.141437          69     30946           write
  1.94    1.033508         119      8684        20 nanosleep
  0.77    0.411787          37     10935           tgkill
  0.77    0.408942          34     11694           sched_yield
  0.77    0.408634          37     10935           getpid
  0.75    0.398847          36     10936       365 rt_sigreturn
  0.36    0.194590          63      3048           epoll_pwait
  0.09    0.048532          53       901           madvise
  0.02    0.009943          58       171           getrandom
  0.01    0.005718          33       169           setsockopt
  0.01    0.003375          25       132           rt_sigprocmask
  0.01    0.003299          30       109           mmap
  0.01    0.003043          64        47           close
  0.00    0.002235          31        71           epoll_ctl
  0.00    0.002158          36        59           prctl
  0.00    0.002038          97        21           clone3
  0.00    0.001376          38        36         3 accept4
  0.00    0.001324          30        44           mprotect
  0.00    0.001102          32        34           getsockname
  0.00    0.000925          21        44           sigaltstack
  0.00    0.000584          38        15           munmap
  0.00    0.000576          26        22           rseq
  0.00    0.000568          25        22           set_robust_list
  0.00    0.000483           4       114           rt_sigaction
  0.00    0.000390          17        22           gettid
  0.00    0.000296          32         9           pread64
  0.00    0.000276          34         8           sched_getaffinity
  0.00    0.000187          18        10           openat
  0.00    0.000154          30         5           socket
  0.00    0.000070           8         8           fcntl
  0.00    0.000068          22         3           bind
  0.00    0.000024           8         3           prlimit64
  0.00    0.000016           5         3           fstat
  0.00    0.000011           3         3           brk
  0.00    0.000010          10         1           uname
  0.00    0.000009           9         1           eventfd2
  0.00    0.000008           8         1         1 access
  0.00    0.000008           8         1           listen
  0.00    0.000006           6         1           epoll_create1
  0.00    0.000005           5         1           set_tid_address
  0.00    0.000004           4         1           arch_prctl
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00   53.317107          98    540344      8269 total
