goos: linux
goarch: amd64
pkg: competitor/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkMuxMasterStaticRoute-16                 	40494471	        29.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterStaticRoute-16                 	40154157	        29.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterStaticRoute-16                 	39694496	        29.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParamRoute1-16                 	10334983	       117.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute1-16                 	10119532	       116.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute1-16                 	10121924	       116.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                 	 9110392	       131.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                 	 9184342	       131.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute2-16                 	 9103442	       132.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute3-16                 	 8239875	       144.4 ns/op	     480 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute3-16                 	 7968871	       143.5 ns/op	     480 B/op	       1 allocs/op
BenchmarkMuxMasterParamRoute3-16                 	 8311970	       145.1 ns/op	     480 B/op	       1 allocs/op
BenchmarkMuxMasterWildcardRoute-16               	10107942	       116.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterWildcardRoute-16               	10177890	       117.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterWildcardRoute-16               	10493758	       116.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterNotFound-16                    	 4413328	       260.2 ns/op	     108 B/op	       3 allocs/op
BenchmarkMuxMasterNotFound-16                    	 5099965	       254.7 ns/op	     100 B/op	       3 allocs/op
BenchmarkMuxMasterNotFound-16                    	 5087832	       254.7 ns/op	     100 B/op	       3 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16         	276371078	         4.449 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16         	268768515	         4.509 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16         	269568355	         4.520 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelParamRoute-16          	11906571	       102.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParallelParamRoute-16          	11604235	       102.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParallelParamRoute-16          	11714404	       102.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkHTTProuterStaticRoute-16                	34654882	        34.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterStaticRoute-16                	34838139	        34.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterStaticRoute-16                	35434406	        34.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParamRoute1-16                	22813155	        50.52 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute1-16                	23284568	        50.22 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute1-16                	23152506	        50.58 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16                	19645660	        60.18 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16                	19771218	        60.18 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16                	19415010	        59.89 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16                	15857575	        74.26 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16                	15741824	        74.40 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16                	15852571	        74.84 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16              	27472626	        43.00 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16              	27271689	        42.84 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16              	27256893	        42.76 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterNotFound-16                   	 2866795	       398.2 ns/op	      94 B/op	       3 allocs/op
BenchmarkHTTProuterNotFound-16                   	 2985752	       397.6 ns/op	      92 B/op	       3 allocs/op
BenchmarkHTTProuterNotFound-16                   	 2961484	       399.5 ns/op	      93 B/op	       3 allocs/op
BenchmarkHTTProuterParallelStaticRoute-16        	252933483	         4.833 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParallelStaticRoute-16        	245874745	         4.914 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParallelStaticRoute-16        	245297340	         4.920 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParallelParamRoute-16         	55745772	        21.78 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParallelParamRoute-16         	56528360	        21.82 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParallelParamRoute-16         	55776354	        21.78 ns/op	      64 B/op	       1 allocs/op
BenchmarkBunRouterStaticRoute-16                 	 7205648	       169.2 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterStaticRoute-16                 	 7073043	       167.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterStaticRoute-16                 	 7164957	       168.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                 	 6846349	       159.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                 	 7507652	       160.3 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                 	 7373773	       160.9 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                 	 6524644	       180.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                 	 6688378	       181.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                 	 6515407	       181.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute3-16                 	 6607902	       179.9 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute3-16                 	 6652663	       180.4 ns/op	     416 B/op	       3 allocs/op
