goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16                 	41158962	        28.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	42245648	        28.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16                 	42334542	        28.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16                 	10122134	       118.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10211881	       119.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute1-16                 	10217127	       118.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9138936	       129.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9157264	       135.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16                 	 9279657	       130.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 7985337	       149.6 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8013068	       150.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16                 	 8108347	       149.6 ns/op	     480 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 9294913	       129.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 9174897	       132.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkWildcardRoute-16               	 9095935	       132.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkNotFound-16                    	 5184915	       218.1 ns/op	      99 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 6197420	       208.0 ns/op	      91 B/op	       3 allocs/op
BenchmarkNotFound-16                    	 6139455	       206.9 ns/op	      91 B/op	       3 allocs/op
BenchmarkParallelStaticRoute-16         	292513416	         4.218 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	285468285	         4.249 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	283196464	         4.265 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelParamRoute-16          	11555458	       104.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11382201	       104.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11380407	       103.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkFastStaticRoute-16             	40133059	        29.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	42477088	        28.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	41301829	        28.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastParamRoute1-16             	25595902	        46.15 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	24967935	        46.05 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	25070161	        46.37 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	17210426	        69.50 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	17297892	        68.82 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	17458861	        68.96 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	15099348	        79.65 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	14611617	        79.76 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	14928807	        79.72 ns/op	      96 B/op	       1 allocs/op
