goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/waste-hunt/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkAPIKeyHit/current-16                      	 2690510	       446.0 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit/current-16                      	 2678098	       447.4 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit/current-16                      	 2678611	       447.2 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit/alternative-16                  	 2679969	       449.0 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit/alternative-16                  	 2666614	       450.1 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit/alternative-16                  	 2674312	       447.0 ns/op	     416 B/op	       6 allocs/op
BenchmarkJWTAuthHS256-16                           	  261366	      4420 ns/op	     738 B/op	       7 allocs/op
BenchmarkJWTAuthHS256-16                           	  263208	      4414 ns/op	     738 B/op	       7 allocs/op
BenchmarkJWTAuthHS256-16                           	  260970	      4427 ns/op	     738 B/op	       7 allocs/op
BenchmarkJWTParts/[]byte(signingInput)-escaping-16 	33240949	        35.91 ns/op	     128 B/op	       1 allocs/op
BenchmarkJWTParts/[]byte(signingInput)-escaping-16 	32848144	        35.79 ns/op	     128 B/op	       1 allocs/op
BenchmarkJWTParts/[]byte(signingInput)-escaping-16 	33860668	        35.46 ns/op	     128 B/op	       1 allocs/op
BenchmarkJWTParts/hmac.Sum(nil)-16                 	 5865902	       207.2 ns/op	     160 B/op	       2 allocs/op
BenchmarkJWTParts/hmac.Sum(nil)-16                 	 5736984	       206.7 ns/op	     160 B/op	       2 allocs/op
BenchmarkJWTParts/hmac.Sum(nil)-16                 	 5720272	       207.9 ns/op	     160 B/op	       2 allocs/op
BenchmarkJWTParts/hmac.Sum(stack)-16               	 6161686	       195.1 ns/op	     128 B/op	       1 allocs/op
BenchmarkJWTParts/hmac.Sum(stack)-16               	 6102068	       194.6 ns/op	     128 B/op	       1 allocs/op
BenchmarkJWTParts/hmac.Sum(stack)-16               	 6118592	       194.2 ns/op	     128 B/op	       1 allocs/op
BenchmarkJWTHeaderStep/current(decode+unmarshal)-16         	 2871134	       411.8 ns/op	      80 B/op	       2 allocs/op
BenchmarkJWTHeaderStep/current(decode+unmarshal)-16         	 2891850	       413.0 ns/op	      80 B/op	       2 allocs/op
BenchmarkJWTHeaderStep/current(decode+unmarshal)-16         	 2910312	       412.0 ns/op	      80 B/op	       2 allocs/op
BenchmarkJWTHeaderStep/alternative(memo-hit)-16             	297165615	         4.050 ns/op	       0 B/op	       0 allocs/op
BenchmarkJWTHeaderStep/alternative(memo-hit)-16             	299072965	         4.014 ns/op	       0 B/op	       0 allocs/op
BenchmarkJWTHeaderStep/alternative(memo-hit)-16             	298845800	         4.008 ns/op	       0 B/op	       0 allocs/op
BenchmarkMount/current-16                                   	 5090076	       237.5 ns/op	     864 B/op	       2 allocs/op
BenchmarkMount/current-16                                   	 4999105	       236.8 ns/op	     864 B/op	       2 allocs/op
BenchmarkMount/current-16                                   	 5084497	       239.2 ns/op	     864 B/op	       2 allocs/op
BenchmarkMount/no-redundant-url-16                          	 1216152	       987.3 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16                          	 1216870	       980.0 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/no-redundant-url-16                          	 1221259	       985.1 ns/op	    1784 B/op	       8 allocs/op
BenchmarkMount/shallow-copy-16                              	 4691589	       253.2 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16                              	 4618003	       254.7 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/shallow-copy-16                              	 4715282	       256.1 ns/op	     848 B/op	       3 allocs/op
BenchmarkMount/dispatch-only-16                             	10209488	       116.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16                             	10172965	       115.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkMount/dispatch-only-16                             	10362295	       116.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkServeFilesCopy/current-replica-16                  	 1000000	      1029 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16                  	 1000000	      1033 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/current-replica-16                  	 1000000	      1029 ns/op	    1928 B/op	       9 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16                     	 4831322	       255.2 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16                     	 4737432	       251.6 ns/op	     848 B/op	       3 allocs/op
BenchmarkServeFilesCopy/shallow-copy-16                     	 4803480	       252.9 ns/op	     848 B/op	       3 allocs/op
BenchmarkCleanPathChanged/current-16                        	 8694642	       140.7 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/current-16                        	 8637265	       147.3 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/current-16                        	 8515659	       145.4 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16                   	 8620668	       142.4 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16                   	 8836894	       139.9 ns/op	     464 B/op	       2 allocs/op
BenchmarkCleanPathChanged/shallow-copy-16                   	 8423305	       140.3 ns/op	     464 B/op	       2 allocs/op
BenchmarkCompress/small-600B/current-16                     	 3814896	       309.0 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B/current-16                     	 3817261	       309.6 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B/current-16                     	 3887332	       309.4 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B/alternative-16                 	 3871627	       310.3 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B/alternative-16                 	 3892426	       309.5 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/small-600B/alternative-16                 	 3848698	       309.1 ns/op	      32 B/op	       2 allocs/op
BenchmarkCompress/chunked-12KiB/current-16                  	  154878	      7773 ns/op	      58 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB/current-16                  	  152211	      7783 ns/op	      58 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB/current-16                  	  153319	      7773 ns/op	      58 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB/alternative-16              	  154582	      7830 ns/op	      69 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB/alternative-16              	  153986	      7797 ns/op	      53 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB/alternative-16              	  154672	      7844 ns/op	      58 B/op	       3 allocs/op
